id,sku,a,b,c
386,9337aceb83a1c8368c124d5551daea20,18.0,21.0,6.0
387,4efbaad323bab1ae302182552e9827b4,44.0,18.0,20.0
388,f65089e88888e6ff9163a4b335bc27bd,50.0,15.0,27.0
389,ae3583d083f6ffd6f708788384295ef6,8.0,14.0,10.0
390,73b3d7d280b6db858386e7f6f37ce2ec,20.0,3.0,13.0
391,76cbe29bb02e4d2891dc8c0d58ae7ccf,39.0,19.0,34.0
392,ef58cd116a0920caf9c0e6c6df9334e6,7.0,6.0,7.0
393,df652a5b2b76697a8527951825b97f5f,8.0,6.0,7.0
394,14cf5c24a53b697e804976b9018eb455,10.0,10.0,10.0
395,9d9624d00a93423189668b1ab4a7bf33,8.0,9.0,8.0
396,dfdf0bac82ef58d0710d27c4fd87ad07,9.0,24.0,5.0
397,0a9aa79f74f8c1ea65f658324b181463,9.0,24.0,5.0
398,5a6c75d145ca3bebe7c808693f3dc362,6.0,5.0,5.0
399,a088db9dc6a7986a6eb9d4de25f17b2b,57.1,10.0,39.5
400,614dbbe26a23abb6499df8fa393bbfdc,10.0,5.0,8.0
401,39525137da8fae038814c7ff55e34eda,13.0,39.0,62.0
402,5eb15976c5bd5a908e5bebcc8b9fc04d,10.0,22.0,5.0
403,21d8f921b130265daf8f9ca526fc6a19,16.0,7.0,6.0
404,796bbb12817997432fd3fb0ba449b8da,7.0,6.0,6.0
405,d7e8cdda7fd86644249ae80904fdbbbf,4.0,18.0,9.0
406,d8dca0483896aaf17d2e43aca5dec02d,7.0,6.0,6.0
407,9eb389c75e74e5b388c5dd356c3e6c15,26.0,40.0,16.0
408,5e71d628c5519813a454f878092ab315,16.9,19.5,11.3
409,2bee776ff046973076b60097549b914c,6.0,7.0,6.0
410,7d48517f4f6e2b4757e83b583b701f54,3.0,16.0,6.0
411,0ed98130c04357392af6db50349ea6cb,6.0,4.0,7.0
412,e013131ffcc5d25310882cf61c0e51fc,7.0,8.0,6.0
413,354d0b1ab2a44c7fed2795f87e68e268,20.0,12.0,38.0
414,eb06b001fc3a81d95f7b39e59c11e1e8,7.0,15.0,8.0
415,c7974afb9833b02266af86742a68cedb,9.0,7.0,1.0
416,3a1f0dc40370facffe0f7c64f5e073d6,9.0,3.0,15.0
417,6db9484ee3306ad1cc6fb42dc44ad274,10.0,5.0,8.0
418,2c1dd4022dca03f193181114076b0827,13.0,3.0,17.0
419,10ece29508f5d4b0d2b6b0c012129ec0,23.6,7.6,18.5
420,fef43a6cacf00ead6948fc8b954cd536,3.0,13.0,7.0
421,ed75d3a796e20f04ce31978e618a4e88,39.0,11.0,34.0
422,9409d1b7f30ea623c7fdb006e0726089,1.0,15.0,3.0
423,d7bc3675214d0d3394b64708a46bc2b3,4.0,13.0,12.0
424,9b43a96ce73ddc40753f3a68567f760c,6.0,7.0,6.0
425,df06fcf94d255fc2bc1e8dc0cc9bc0e0,20.0,15.0,14.0
426,ea95829c8f777c6830872277d69f1344,5.0,7.0,6.0
427,b3ba53a5566199506075364345ca1b13,6.0,4.0,12.0
428,e0ed34659f19848dfa6287e78b0a6291,5.0,22.0,16.0
429,8e7b3972a25ed0ca6e79301001689c73,11.0,40.0,40.0
430,c45496c55bd7c19d61ae4b74f284d1f0,5.0,10.0,6.0
431,dddd52d98ec7f65e9ac64353c0c234e1,9.0,23.0,5.0
432,8b7ecdbb55422855b09b4fd5000c9a95,10.0,14.0,40.0
433,aac1926c461bc23de31c36d4cb8050b1,14.0,18.0,33.0
434,4652b2c2870074cf45163ee1a34283a4,10.0,5.0,8.0
435,ac19d1bfededfea4f3fa7e8275a76eda,14.1,17.9,32.6
436,facd61f31d34a73a6f6e4be7690b5da5,23.0,7.0,10.0
437,89718335e7f4e5fa43565e022eadc1b7,16.0,4.0,8.0
438,d426a965854401ee3b6d0581b5795d22,30.0,25.0,25.0
439,3c1e1a1d52e6c7488edf9e1dd756610f,6.0,6.0,7.0
440,19571b7ecae9282308edc0b23bd7e8d4,20.0,20.0,20.0
441,7ccbf198e7ca066af254f755367c2d16,6.0,2.0,12.0
442,36640f41a05f4432353e4cf0e571ea9d,40.9,16.1,29.7
443,54c84955f5224848b7c5b80a9b47bcf0,40.0,15.0,10.0
444,d3e5bb7c5657e42211e687150867fc18,14.0,22.0,11.0
445,8a43bb74f936a8fe209e5e40bfb89774,16.0,7.0,9.0
446,afdb041516b44069455d6d6eb5fa776e,8.0,7.0,7.0
447,3756a48e213e082b0e795776ba5d5496,16.0,7.0,9.0
448,40f8b8e723d58962441e90680d97565c,7.0,7.0,8.0
449,fd64224492e6f7cd7dd2ff6c172ff40e,7.0,6.0,6.0
450,ca59f04134070205766f84f9a5431620,5.0,7.0,6.0
451,087d3ce63dea92f255111ce0c89dfdad,48.0,38.0,7.0
452,51870b9eb43a1a1c809fdff6ca6759c0,7.0,6.0,6.0
453,ffbfc5a5f1f67dc29f736879c4c7b4c9,37.0,34.0,14.0
454,3af1c61c06dbdae7f188ab482ef075ae,16.0,38.0,19.0
455,7e9711e0de1d1cd78e3bb3577b8feafe,29.0,19.0,24.0
456,586174bb29ebaf3c32df3aebafa6cfd2,13.1,10.3,19.2
457,6a58146372f8109ad71115d57f4925ac,31.0,24.0,22.0
458,14469560ebf1d4b54770dbfd8c016913,6.0,6.0,6.0
459,c9464d505f8e80fb7e189f199d310ae1,31.0,13.0,41.0
460,d83d59ae7c781ab0c453b69a47a1a2e9,12.0,5.0,12.0
461,defe7bfabef5a04d5dc1695bee90d0df,6.0,6.0,6.0
462,c6c6320dde32b951d8adfdd22a310cd8,16.0,3.0,8.0
463,63ae35b7e43c5850b7a0188268e7add5,62.0,39.0,12.0
464,125c7fc704e243ef5b0ae56b20cf33c3,50.0,12.0,16.0
465,844c6486d42ba2f46138b2de30ca1460,14.0,19.0,9.0
466,92db9795e6467d61ffe8878bcc772654,40.0,15.0,10.0
467,344e5e3da65bec47d67560061c66151a,13.0,27.0,8.0
468,6e8a2db1fc103e9a955839a86cac4a43,3.0,27.0,7.0
469,fafab2092fec7ef69a845654b8a33573,62.0,15.0,37.0
470,2c1eea4325f8eaab6e747fb00d731acc,57.0,10.0,39.5
471,3d9cf190cacf456263a8d57c47e31e1e,19.3,8.2,20.7
472,d3588c964f4e6a41b9e984dd869db1b5,6.0,6.0,6.0
473,5886bcff30a242cb9fd5f0c75fbd14f6,5.0,20.0,10.0
474,6b2a108750ea15198f537d9d7884b6d3,4.0,19.0,19.0
475,111b3347de195b0be5ba5d290b81bb37,39.0,5.0,16.0
476,7d2e3e4d08bfd556a6267f09981491a5,10.0,10.0,10.0
477,55c670a6b2caf45d25a0d50f4f79bab7,10.0,5.0,8.0
478,b0d2ba61bda5094c41d353b8f8087806,25.0,20.0,20.0
479,67adac67ee557211486f63ce5c1fb74d,8.0,15.0,6.0
480,b6d92f584fd7ba3ba9f76c18f25c38a2,8.0,9.0,7.0
481,992299aef5ccfcb6d019b88d07b085a7,14.0,17.0,14.0
482,6c41696d54a2d66cb61c01b317e92cff,12.0,33.0,21.0
483,7d3e63c296abcf67ea14b79514f0412b,16.0,22.0,2.0
484,7f412caf1dc1acff044f99ab6bd02f2d,7.0,11.0,7.0
485,ff87c5dabdd11374bbbad132dd70c988,6.0,16.0,6.0
486,9df88ad6de3e17ebb2d9db5b17dc72f5,11.0,1.0,5.0
487,9dde9c44f1456d58df847c054dad6b3c,21.0,27.0,11.0
488,bcabba1ba6646b8ad6296f8018f02b5e,17.0,70.0,42.0
489,63866686c5b036917ed57f86d207c463,20.0,5.0,30.0
490,29b33977fbc3acf069858b5dff22a4ff,19.6,5.5,13.8
491,3340713d0f3e910c7885dfec8b1d0cfa,20.0,20.0,20.0
492,a2028bc1b8fe47ed3f89736fb5512fba,5.0,15.0,8.0
493,862468aee038282413d595b897c0d3fa,7.0,6.0,6.0
494,a336cdb07e7723df8ee90746ef113cad,6.0,8.0,7.0
495,97d3d3ead23e538e993ccf2c355478e5,9.0,19.0,14.0
496,de027b637871f828918b7d699b3a2407,4.0,4.0,4.0
497,74ac9fb602d120c5d42ba81638110e0b,6.0,6.0,6.0
498,41d844362da34cda2b53b87c12ebea7e,39.6,9.9,34.2
499,95cff2d866e78f3c6739a4648c53aa1b,10.0,10.0,10.0
500,bc7d130add5ac1f77e2fe3cdf671d536,6.0,5.0,6.0
501,d099804dba522f2b69b320f2df96ac6e,11.0,20.0,6.0
502,09de2cd5e830553fcb0c69014dd9c4c7,16.1,26.9,27.1
503,a40648d6ece84e1e389af04d721b5bfa,27.0,8.0,25.0
504,f007c6fabdeac4a0a1898d173e4054eb,10.0,7.0,7.0
505,8c44907cc2d6f3d04d7fb9a90bf4f0d6,4.0,12.0,17.0
506,15f933b46e99c2f884c5b72a9229be43,34.0,12.0,37.0
507,fd530d5015090091befa0e5aab9f8ad5,8.0,29.4,7.4
508,7b9c114fa5c47b77705e6f1e072f90f5,11.0,1.0,5.0
509,befea6beed8bb09124391d2fcce13e96,42.0,35.0,15.0
510,9e6ec677590427645ba6f662aaba4ebe,60.0,27.0,37.0
511,d1782339ce2f910ebf902ba32f088b6b,42.6,12.3,30.4
512,b165a9dc95f44f4f7ff291cb60e1c89a,6.0,10.0,4.0
513,865dd7dbcfbebecf0d2050d5ef1cb23e,13.0,9.0,8.0
514,31ced5e601a10e401459ac3c555bfae7,11.0,1.0,5.0
515,542812205fd7a5d7abe29cb6cbca5357,6.0,7.0,6.0
516,892029735449df7b8251ed4ff1459b6d,7.0,8.0,3.0
517,7d81e921c652f87e52f18919ca757911,6.0,6.0,8.0
518,09327d6625b2f30bcaafd9f810f7f2ea,9.0,3.0,5.0
519,668b6fded185c8eb04c00a86c46416ee,9.0,22.0,9.0
520,1ed03b006fffff4e76bda7e510d1c2c7,19.0,4.0,5.0
521,0c7cb74e5eb579b0d39e6b19be1a98a7,31.3,24.4,12.9
522,e0f564f1da71ffb3c15ca20400e03a88,12.0,5.0,19.0
523,3158ce9972fbfe92818987e6942534b2,40.0,27.0,31.0
524,1ff883070e448aa8f689a05181a11ad8,14.0,18.0,14.0
525,f560b75bee3e9f858a8ebf50aeb23627,8.0,15.0,5.0
526,1403d71b4d11363fd0e3a58de263495c,5.0,13.0,5.0
527,9efdc742ee22f68275bebd7156106283,11.0,1.0,5.0
528,7a1ef3e1a681ea4304722893ff816e99,30.0,50.0,7.0
529,a796f3ee288d80538fda9efed5ab1ac5,7.0,6.0,6.0
530,e4294615bcfc1140b98586bc1d03912b,7.0,6.0,6.0
531,e90aabb11c2dec412d44cb8954f333a4,42.0,37.0,10.0
532,7c83362386a781f94020c479f6e31f9f,6.0,19.0,11.0
533,e7165590a8582be397f7207a32af6eaf,6.0,7.0,6.0
534,d028ab9310e213316a2141d56c441637,7.0,6.0,6.0
535,2aee1ab7d7e4c705adacf527ddb28f63,13.0,3.0,4.0
536,23c26e8b0a48fc64542a5fc7fb0a5fb5,20.0,16.0,31.0
537,c5165f7de21b2277fe2e1cb49a07880d,7.0,17.0,4.0
538,41e3f616a97c51026e5fbe23b56f019b,6.0,4.0,10.0
539,e13dd6b4e17ef04ae904d83f26154ef5,13.0,1.0,9.0
540,27f2a3cd3522ca89761155c48fb7857b,13.0,27.0,43.0
541,3fd21c7f292532f03a2fc6cfafa8065b,19.0,4.0,14.0
542,5454e0d0f7cfcddd760203c1797bb5a8,11.0,1.0,5.0
543,4040a912f11156381873516b6956455d,10.0,28.0,5.0
544,9c44381f56c6289dd4f413e7132938a6,25.0,7.0,15.0
545,091602338e4c0bc9afc282d546bf4bc8,7.0,7.0,6.0
546,ba09acb5588c9aceb8ce942740f2190d,6.0,5.0,5.0
547,1f982386b3c5b69ad3e3c98b462a0f63,25.0,7.0,15.0
548,53e35203b80721ed1ca3c41fda0ca231,40.0,32.0,20.0
549,29fb0a0a5cb74560946891f479b1b93e,7.0,6.0,6.0
550,227ba7f063a662d25b268af6b300664f,11.0,3.0,4.0
551,904ab8f175486702c2089f54cde93e80,5.0,5.0,5.0
552,ea3a1d56d6cff2c111caf47178de5f95,53.7,33.6,14.6
553,c9f4ca0e8f0215e599572726392009ed,5.0,7.0,5.0
554,c27236176e36a9f7a7b52b35870b2517,6.0,8.0,8.0
555,4b6bf180bc9940e68cce45b56c18355b,5.0,5.0,5.0
556,84180147d07bf9dea5bed1057f703371,7.0,6.0,6.0
557,3dba81d157bdad80cac48122548ece82,33.0,13.0,16.0
558,f43ca0b1cc8f1c396f074420c4bd6c47,11.0,1.0,5.0
559,aa67686f754ae982e2c03957e647255b,6.0,10.0,4.0
560,dd357b58d5f0b080f4c49d24c0537389,5.0,5.0,5.0
561,af506af68a2c9f64a57d2b60af3c88ad,14.0,11.0,11.0
562,9e66d01addf1f76a9f364efb9d960981,6.0,8.0,6.0
563,46e347a0123d30cd082c024a98012cdc,35.0,14.0,37.0
564,91cc373e647672698277b37782e88590,9.0,22.0,19.0
565,382f708012db2bd400f2767049accfe0,33.0,13.0,15.0
566,c89f62167dee11e9add6f616e1ecc759,39.6,11.7,37.9
567,4048cf91b7be398cec80b7d44620238a,22.0,47.0,24.0
568,4bd34e77d13ce62143ff46ce8c3c9834,6.0,6.0,18.0
569,0e9a9511856b05cd26f0bbbdd56d0b3c,23.0,9.0,28.0
570,21003e1dd25cd1ccc7e38828a25014e7,8.0,9.0,6.0
571,9ae4e853ac77ca31e6a7d4e48f5b8e25,10.0,5.0,8.0
572,96e83bbe94ef5d7af9a9a48c57fcf359,27.0,49.0,19.0
573,412428d15b77f0c03c5adb99f1791380,7.0,8.0,7.0
574,8b54548caccf843fdbe0b4b2724f3f28,18.0,5.0,10.0
575,38dfee0fff7fd3faf8aff87d76bfd1df,28.4,9.0,8.9
576,8b5caa8b330f660b4783ad23a4f3ae3a,5.0,14.0,6.0
577,5be2de2583f55e5a0e67e29ebcaf212e,10.0,6.0,10.0
578,f471dd1f9804db3cae480157a5434e62,4.0,13.0,8.0
579,175d003ab43655da34cd02a80be7b1c9,13.0,20.0,13.0
580,0fd39c6c2e6df95eabac76d376d49334,6.0,7.0,6.0
581,e1a554ba14ff347e0faf4c6925a7e1a2,9.0,3.0,5.0
582,186f09729c103a2aab30333b1e29d445,6.0,6.0,6.0
583,9549a0157fcb1d040a46364b7d6d0dbd,6.0,7.0,6.0
584,1033dba531eaf7e941ef67a96e3c8b64,13.0,24.0,6.0
585,d8021c98b71a9ae2dd21bf6e4786b09c,6.0,7.0,6.0
586,4677dbf515f1df909a5283b157026d34,14.2,14.3,16.6
587,e225ac39e946f8a0087c25709bac2a30,36.6,10.1,26.7
588,cd6729966e8425b4d9899db98686072f,6.0,7.0,4.0
589,03d82ffcf84124f8ea3f4af083be2308,7.0,6.0,6.0
590,80d1f50ebee37576afb9753b5a757fbd,39.0,7.0,20.0
591,5dfcfafa2d358f8ac1a78f70e96a229b,16.0,20.0,21.0
592,37bda45caf18363e50234a42e79bcad8,11.0,1.0,5.0
593,3148e71fff77f76e2b73201c7c31e576,35.0,14.0,14.0
594,05ac7e2180f5f6054635434128fac4b5,13.0,3.0,5.0
595,c0874ef9b321891b28a231601bc58a0c,49.0,34.0,28.0
596,d63573c22bcbb00e12e442175eee0f50,13.0,18.0,13.0
597,1d72a7b30c089aa98ba6b9a38c80db4a,49.0,34.0,30.0
598,2246d79f380f5ea092362d3674cf2cf3,18.3,9.1,21.6
599,d2bcc9390d61b304cd2a40a56ced16c8,13.0,21.0,6.0
600,f352c85fdae730beeece3c7b6cccb179,7.0,6.0,6.0
601,d65e9551613fea1d788923cd61f33aeb,18.0,23.0,29.0
602,f899ed7dde39cc4a210fd0b8f1c47bca,18.0,14.0,17.0
603,c1126b02130a6eeac2c0086b414aef5f,25.0,30.0,15.0
604,7e8aebf25a1fdad0c89a6f0088dd79eb,6.0,7.0,6.0
605,08c848e8ac7b676bb538f5192fad48f3,9.0,3.0,15.0
606,ab8e760307de17e81386cb01f78b61c8,12.0,5.0,3.0
607,9a40af8a57b9d67d8a3c8fad382ebbed,17.0,4.0,14.0
608,2effa92a3952064f6fc93fda663bd06e,21.0,7.0,12.0
609,ae7706a64f46f150ac12abbe1d18e88d,15.0,23.0,7.0
610,9f5fe167865cdc3ba0b5e16cf936f600,18.0,9.0,8.0
611,909dfff183cf2910a0a34163d668acc5,13.0,21.0,6.0
612,5cb5be3dde6bca03edeaabaffc58f08a,5.0,22.0,17.0
613,07fbb6592509afd201f2590cc96f7252,19.0,23.0,16.0
614,b91396774e3256aed0c541caf6975534,23.0,8.0,19.0
615,0fc8408f5b998a46b6f350c27c554311,11.0,1.0,5.0
616,54f2bff2a819839037fc76cce15d6290,37.0,16.0,11.0
617,275d35b11ff4318e2aef287b018b7a22,5.0,22.0,20.0
618,39a3bc44c686ab7753be5b94e62cf9cd,6.0,5.0,5.0
619,3ebd48c1e7667725d7aae5e41bdba02e,26.0,2.0,26.0
620,adf10e550a07187eb8af398267c659c4,6.0,16.0,6.0
621,c517e6a29d1f2cba48bde5a657189585,6.0,18.0,6.0
622,717e31bb8d815a0ee3e4611b83194f19,10.0,5.0,8.0
623,5d7962f1381ae802cdc5184a71dd3b1f,10.0,7.0,7.0
624,ea2cb9c5f2079a43ce2e3e7a4506bba4,12.0,12.0,12.0
625,3602572815d7948a49042ce0a0b80ca6,12.0,10.0,10.0
626,1f857b73bce4c65d6e611a85c230aa0f,16.0,8.0,15.0
627,6070cd2f0f12f3cc97a3d1a2910d1a63,20.0,15.0,20.0
628,f0c8a54cc10d6da2caa5bba0bf86a09b,9.0,3.0,15.0
629,58d1438980b130a393b88f3c1c948638,10.0,6.0,10.0
630,ca8d88346124fffdf1c22edc56191fda,9.0,2.0,9.0
631,d4d703bc233aeec3b20117016d5107db,20.0,30.0,10.0
632,7ee45d58d4e9458700b1d775d51345fa,8.0,2.0,13.0
633,d882dee64018498a295868f3fd92a3de,16.0,40.0,20.0
634,62bbe44201bd83c1512a96a2394dde70,5.0,23.0,17.0
635,f399aea5a743f4972ed57fb66e9d8dfe,38.0,30.0,13.0
636,f48e9dc03e5ac917adc821cd7537ca01,31.0,22.0,10.0
637,583598ef332c1887e42f48c0c658128b,10.0,4.0,6.0
638,3bb7ac8584c5b8e24c352273dcf52a8e,13.0,20.0,5.0
639,22713a692c5ca1b5c6227235756db084,18.2,8.9,21.7
640,7dafcfec7ff3876997aec4897ce1657f,6.0,8.0,6.0
641,de7db869220ce23497736c3ff361016e,18.0,3.0,48.0
642,113d92582b719e496f1a171605c2f7fd,34.0,5.0,24.0
643,a8ea2cbe00a284e5aaa0672c3139142c,6.0,5.0,11.0
644,1676d253a31b4bf76126900f053bf614,5.0,5.0,5.0
645,79171288a32f0c376dad3ad9d150da1a,6.0,6.0,3.0
646,46866ea8e22d23c400c4a441a4ee952f,7.0,7.0,6.0
647,ff26ff4fecbfdd516de13e796d8b4b00,5.0,9.0,4.0
648,c726314f611006b9e21a32ae90a23ae8,33.0,7.0,30.0
649,f355702024637f33a6806dda49452ca9,10.0,6.0,6.0
650,1e5b18f04d2e2a6af6ff253b718ec617,6.0,7.0,6.0
651,44875732c75029288ac3c83a24f7f3b0,12.0,21.0,14.0
652,78ebe8b03738078f1513745a847b3ee4,7.0,16.0,11.0
653,265053dde357f4ae756012501d594d36,11.0,15.0,9.0
654,51824d1f25c25942699ea7245f3e363e,6.0,11.0,19.0
655,7580e03fef159892eb7723be31267857,13.5,20.2,4.7
656,1cd28be4be6f82bee415ed9027a02206,10.0,5.0,8.0
657,d987eb964018f0ac908507212d48b869,7.0,10.0,7.0
658,4f2ed7e357359678204a05c64584b45a,12.0,27.0,41.0
659,05f29e29332604be4845d9bc25140648,38.1,11.1,28.5
660,10d3c96c044f555625d7715fcc423af1,75.0,45.0,48.0
661,4b113d44adae99e1c171a70e3796705a,4.0,9.0,6.0
662,afe26c5de2c1e2a905da6094e60a1fe8,15.0,5.0,10.0
663,942f53486681276d3c2456186c1fbd1a,6.0,7.0,7.0
664,0649ca5e2c5db7c6b04ca8e9133e12da,4.0,9.0,6.0
665,6c09a4c77e8673675c90176a70e36659,40.0,32.0,12.0
666,f7db47502036fa60a01b83411710a592,14.0,6.0,9.0
667,b52fcdeb9638b57417b80e56cf3ff0e5,7.0,19.0,4.0
668,0866ffa306dd62038f690c942944333b,17.0,16.0,18.0
669,218b80ec82752b12637f253ae5eb0e65,21.0,19.0,29.0
670,58e658520029e8a11bc5a0a71d2dfda6,34.0,12.0,15.0
671,fb1cd27c318f06fcb2aa4d05591e531d,5.0,16.0,13.0
672,8a1b1afa839943db8f1c61180133194c,7.0,8.0,7.0
673,6bebbf311d412463867535608793038c,5.0,6.0,5.0
674,7ead1a1bc5f93c636d81d2921fc59bd0,41.6,10.1,30.4
675,cf9a7c3322ffdff40d5961b3bc9ca4e9,11.0,14.0,10.0
676,3f2b6b4862575d32637ad7f71a04de7c,16.0,22.0,8.0
677,a58e8421f213e620541c0a688ed4d2bc,13.0,3.0,7.0
678,6b4279591ef2c3a2c35d743035f2c780,40.0,17.0,27.0
679,52ff16691a69158374e13f071bf873b4,6.0,12.0,20.0
680,d98f6a1015232394b68440c0406c6401,8.0,3.0,25.0
681,168e18ba98338dc851f88f25e5a7eb5a,14.0,22.0,6.0
682,c5ff29b023155f731fc5e1e333d92345,11.0,1.0,5.0
683,97f2eefb39d306cf27b757151d23c2cb,18.0,6.0,4.0
684,dcd2fec941cae230c08b6fdbfc423dcb,10.0,29.0,7.0
685,8bb60cca0a447fc6a1d0eb2393eb8dd7,42.0,29.0,21.0
686,f83678de9779ccd632c9b4a40119945e,11.0,9.0,22.0
687,bcd6f6e4d9d4f377a591677f381bf714,50.0,32.0,30.0
688,9277e297858f86ba02aee27c23319cd0,34.0,33.0,24.0
689,b1799a845feefd943b776b4b780aa4ff,5.0,4.0,10.0
690,ccbc36a4c30dfc631d960c262230de6e,5.0,5.0,5.0
691,c74078e6d018391a868e380529fd29fc,4.0,20.0,15.0
692,0291be5f3d0b589dadc6feac303c4e8e,22.0,8.0,26.0
693,12909a1e7e9cbca9f161d11f1fd5808a,8.5,16.3,5.5
694,59ea41d5fd32b282d83e92921fc7bbe3,35.1,25.7,24.8
695,c6f2f6b09b57b8d488bb34739e9641b9,33.0,40.0,24.0
696,bb6b07fcfb65087ce313572c199191b6,10.0,10.0,10.0
697,4f2b83caca127898bb74ba94145d32e8,6.0,37.0,9.0
698,b0af7c7890c5c92af58c5f4525914159,10.0,10.0,10.0
699,2ca3fd82c39a7e112dd832dbbcad2bfa,46.0,44.0,50.0
700,e43f9ee0af1253a640914a280d9e6683,15.0,10.0,10.0
701,274208141dc9162265691a98ac2bd3ea,7.0,20.0,12.0
702,6beb033b99c4a5dd26b7e003806e90ba,18.0,7.0,11.0
703,282fc16a04bf6bf57697f80ab49202b8,19.0,12.0,35.0
704,0e2fe7f6d155cd89b56b94d80d7fcc27,45.7,13.5,16.9
705,1842d5420fa0a078002056ee0b2641d5,6.0,16.0,7.0
706,edb8551d06d4d2ec28343367ade16ba8,5.0,7.0,5.0
707,5c8301689d31bd00cfac66ae244bf0d6,15.0,7.0,21.0
708,902754a106bde01fcb7339ce14d4c87a,8.0,7.0,3.0
709,2226cb84e50151677ba1a1a2aeb759e7,14.1,5.7,19.3
710,1169b3f4f5c5dffa0a93b7d7a61c1ed3,6.0,8.0,6.0
711,e7c9ed07ef9acebd0302e0d510e343b7,6.0,4.0,16.0
712,74bafc818804b01d12c8dc819bf29646,7.0,15.0,3.0
713,bfd0b9fac474e6bf78fc11807e4a997e,32.0,24.0,10.0
714,f3f2695b27bfe666a02683a1021f7b18,11.0,28.0,6.0
715,5044f39954c7a45d2a753cc7f6aef48c,10.0,28.0,6.0
716,c5093cc864cdf6e1d7e0573de22b17ae,8.0,13.0,4.0
717,727412ee4404702e8572b85e2bb0d584,21.0,31.0,12.0
718,b1f8af4a04704b2e2b5f0e197d3cd548,17.0,22.0,5.0
719,8f17b2543effc75f0428526f7215b051,10.0,15.0,10.0
720,d84ec7e77ec954bfed264058c5d3b47a,6.0,10.0,6.0
721,d7c462e7273fff063e62dcc45b87f5a2,11.0,1.0,5.0
722,5fee9312f98f2c1f4287bf5b042670e6,16.0,23.0,25.0
723,9f1ddda444a50a0c3d96fa32d5a0c037,15.0,7.0,26.0
724,3e9b8205af15943670a5e289e8249ea4,15.0,3.0,5.0
725,e73fa8fb6e647a67c3adda942619b3fa,12.0,7.0,10.0
726,30ea6937ce4703d224d0d49eef5c018a,7.0,22.0,20.0
727,4d56c5ee5e7b0afefaabfa9df0ab4783,12.9,4.7,19.5
728,8bd6c38e399c0f260f0699c732422a0d,6.0,7.0,6.0
729,f185ab3b8c884b8068e777a5a6d4d7ce,12.0,40.0,26.0
730,71160735aa860ea78d3ce32a41da58ea,10.0,19.0,13.0
731,f2cdcd0ee5d3351f0a0929d45b2f07ce,11.0,17.0,40.0
732,a66389f5187db1933284443be1da3b93,16.0,5.0,9.0
733,b1d676a6049935583975fe6803587548,19.0,6.0,31.0
734,c503522c311274af94b44026f905e3fe,15.0,35.0,15.0
735,684fa9421192199afd79280aaa69e1dc,7.0,6.0,6.0
736,105da15901d94f018b3a75d89f40b83b,13.0,15.0,10.0
737,67a8a95d9bf749bf76c8739500c6f63e,6.0,7.0,6.0
738,b83be3a0f6c3992236969c5139ba9f52,11.3,3.6,7.8
739,9aef2786cc81f5ec93e562b19d84b986,35.0,12.0,14.0
740,19b18be47d42f34fb834234fa080ada7,4.0,20.0,13.0
741,7f64f2e12a5ed6ed14a572c895c39705,18.0,7.0,12.0
742,23a186f10d9b81aac714efebbacd66e1,15.0,23.0,6.0
743,2ac4c0d736c79f11410710a8f5563949,7.0,6.0,7.0
744,841b4d10578fc64d95c31295ee35e8a9,44.3,12.4,18.8
745,4a9f18791546de1827b2b8a4a834e1be,68.0,13.0,35.0
746,9d9944d50aaacbdc1b51d21b97134f79,7.0,6.0,6.0
747,a6c0e3dfaa214eb2126b587ce49bab5c,11.0,11.0,15.0
748,f65e3e03586a95e1d7c31bd81cea0abb,10.0,22.0,6.0
749,c55450c161b9e595adcf7c8cc101910b,20.0,5.0,10.0
750,e238f6aa4c85b26c2351470719ab2652,10.0,14.0,10.0
751,10d84d97b9a9e4cbca2c61bf63101047,20.0,10.0,15.0
752,a02ab6653a41ab6badbe1f2973793a94,19.0,13.0,9.0
753,3982218042cb012acdcee35a5efd53d4,31.0,29.0,25.0
754,8e1c23d6ba00d2084c19c5e8cda989dd,20.0,10.0,5.0
755,8170704dddae179dab87c11062ac76d3,11.0,32.0,40.0
756,53f51673e856bf72df921117e220048e,13.6,5.2,19.1
757,04333c15a8747e5299e09b0c7b129fc7,4.0,12.0,7.0
758,23f4f57c08ab18648aa27137861ff729,20.2,11.9,40.9
759,b241789ad6dccbec6ec77cdaf1dc829d,7.0,7.0,7.0
760,874dd13fee8a5a08e02536f772407b96,7.5,22.4,11.7
761,990a293f1907c8bab94c70027ac7ad4b,23.5,8.5,29.5
762,f7988f9df3a4b12f1f7f09d0ad35321f,14.0,20.0,4.0
763,e63971e17ccd1c8c75edd4c2fe4b8800,7.0,6.0,6.0
764,2eb34574b1997ae2e96cb2c98019cc6e,6.0,5.0,5.0
765,030c72b3a9bdfa687525eb4b73c5b69d,5.0,9.0,3.0
766,cc0e33863e165d8b6ebff391621c9b3f,31.0,16.0,34.0
767,b0e31236c05195b5a7d8e0773c7b36c9,14.0,42.0,21.0
768,d6f59cd63021f74a8c4184309040ddaa,17.0,9.0,21.0
769,41bd62976c0baffc9bf55006f6719066,15.0,15.0,8.0
770,fd0993ada4ecfd30200a53300ab1cf73,35.0,10.5,29.4
771,18469241e9525688623590b4db8b5fcc,10.0,5.0,8.0
772,238f74d86eff8dc9259c3161651e1057,35.0,12.0,37.0
773,57967f294e58d6c2a01e527f2c741c0c,32.0,8.0,26.0
